ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-716565,Source2,2,2022-02-09 05:28:25,2022-02-09 06:13:06,33.964348,-118.12004099999999,,,0.0,Crash on I-5 Northbound at Exit 126A Paramount Blvd. On the median.,I-5,Downey,Los Angeles,CA,90240,US,US/Pacific,KCQT,2022-02-09 05:57:00,51.0,51.0,46.0,29.87,9.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-716662,Source2,2,2022-02-09 08:48:39,2022-02-09 09:48:05,41.060879,-73.85006,,,0.0,Crash on I-87 Southbound near NY-119.,New York State Thruway,Tarrytown,Westchester,NY,10591,US,US/Eastern,KHPN,2022-02-09 08:56:00,31.0,31.0,61.0,29.6,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-719373,Source2,3,2022-02-07 13:31:03,2022-02-07 14:00:34,42.125221,-72.60804,,,0.0,Two lanes blocked due to crash on I-91 Northbound at Exit 10 MA-116 Main St.,I-91,Springfield,Hampden,MA,01107,US,US/Eastern,KBAF,2022-02-07 13:42:00,31.0,31.0,89.0,29.96,2.0,CALM,0.0,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-722037,Source2,2,2022-02-04 06:32:43,2022-02-04 07:02:27,33.545288,-86.591217,,,0.0,Accident on I-20 Westbound near Exit 140 US-78.,I-20 W,Leeds,Jefferson,AL,35094,US,US/Central,KBHM,2022-02-04 06:53:00,37.0,30.0,93.0,29.49,3.0,N,9.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-725370,Source2,3,2022-02-01 22:54:08,2022-02-01 23:24:00,34.069271,-118.463531,,,1.6599999666213991,Exit ramp from I-405 Northbound at Exit 57A to W Sunset Blvd Eastbound lane blocked due to accident.,I-405 N,Los Angeles,Los Angeles,CA,90049,US,US/Pacific,KSMO,2022-02-01 22:51:00,51.0,51.0,83.0,29.7,10.0,CALM,0.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-731091,Source2,2,2022-01-28 07:18:42,2022-01-28 08:03:40,34.066829999999996,-117.454109,,,0.0,Right hand shoulder blocked due to accident on I-10 Westbound at Exit 63 / Citrus Ave.,I-10,Fontana,San Bernardino,CA,92337,US,US/Pacific,KONT,2022-01-28 06:53:00,60.0,60.0,10.0,29.22,10.0,NE,13.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-746369,Source2,2,2022-01-15 17:10:33,2022-01-15 17:39:58,33.399445,-111.641396,,,0.0,Left lane blocked due to accident on AZ-202-LOOP Westbound at Exit 28 Broadway Rd.,AZ-202-LOOP,Mesa,Maricopa,AZ,85208,US,US/Mountain,KIWA,2022-01-15 16:50:00,68.0,68.0,16.0,28.69,10.0,ENE,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-748355,Source2,2,2022-01-13 15:34:26,2022-01-13 16:03:33,36.243881,-86.756622,,,0.0,Accident on US-31W Dickerson Pike at Doverside Dr.,Dickerson Pike,Nashville,Davidson,TN,37207-2539,US,US/Central,KBNA,2022-01-13 15:53:00,50.0,50.0,57.0,29.28,10.0,W,7.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-750970,Source2,3,2022-01-11 14:53:59,2022-01-11 15:38:40,30.438992,-91.020744,,,0.0,Right lane blocked due to accident on I-12 Eastbound near Exit 6 Millerville Rd.,I-12,Baton Rouge,East Baton Rouge,LA,70816,US,US/Central,KBTR,2022-01-11 14:53:00,59.0,59.0,29.0,30.35,10.0,NNE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-760183,Source2,2,2021-12-30 07:49:55,2021-12-30 08:35:30,36.14819,-86.744904,,,0.0,Accident on I-40 Eastbound at Fesslers Ln.,I-24 W,Nashville,Davidson,TN,37210,US,US/Central,KBNA,2021-12-30 07:53:00,54.0,54.0,86.0,29.3,2.0,CALM,0.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-766017,Source2,2,2021-12-24 11:25:02,2021-12-24 11:56:17,27.403543,-82.532921,,,0.0,Accident on Tallevast Rd at US-301.,Tallevast Rd,Sarasota,Manatee,FL,34243,US,US/Eastern,KSRQ,2021-12-24 11:53:00,73.0,73.0,51.0,30.17,10.0,ENE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-773998,Source2,2,2021-12-17 18:20:19,2021-12-17 18:49:36,40.003239,-78.216667,,,2.359999895095825,Lane blocked due to accident on US-30 Lincoln Hwy both ways between Tannery Rd and Mountain Chapel Rd.,Lincoln Hwy,Breezewood,Bedford,PA,15533-9000,US,US/Eastern,KHMZ,2021-12-17 17:53:00,45.0,45.0,26.0,28.59,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-785828,Source2,2,2021-12-09 15:51:41,2021-12-09 16:21:07,32.935139,-96.752708,,,0.0,Lane blocked due to accident on US-75 Northbound at Midpark Rd.,Midpark Rd,Dallas,Dallas,TX,75240,US,US/Central,KADS,2021-12-09 15:47:00,79.0,79.0,36.0,29.08,10.0,SSW,6.0,0.0,Fair,True,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-788671,Source2,2,2021-12-08 05:43:49,2021-12-08 06:28:29,34.760857,-114.572548,,,0.0,Right hand shoulder blocked due to accident on I-40 Eastbound after Exit 148 Five Mile Rd.,I-40 W,Needles,San Bernardino,CA,92363,US,US/Pacific,KEED,2021-12-08 05:56:00,55.0,55.0,59.0,28.93,10.0,W,8.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-793698,Source2,2,2021-12-03 18:44:33,2021-12-03 19:44:17,36.05851,-86.719269,,,0.0,Accident on Hasty Dr at Tusculum Rd.,Greenleaf Dr,Nashville,Davidson,TN,37211,US,US/Central,KBNA,2021-12-03 18:53:00,63.0,63.0,58.0,29.36,10.0,SSW,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-801168,Source2,2,2021-11-29 06:31:16,2021-11-29 08:59:18,37.528431,-77.311127,,,0.0,Restrictions due to accident on VA-33 Nine Mile Rd at Mcclellan St.,E McClellan St,Sandston,Henrico,VA,23150-1548,US,US/Eastern,KRIC,2021-11-29 06:54:00,36.0,30.0,52.0,29.82,10.0,NW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Night,Day,Day
A-804051,Source2,3,2021-11-25 18:18:49,2021-11-25 19:03:49,42.384525,-83.150337,,,0.0,Left lane blocked due to accident on I-96 Eastbound after Kentucky St.,Edward J Jeffries Fwy,Detroit,Wayne,MI,48238,US,US/Eastern,KDET,2021-11-25 18:31:00,42.0,38.0,85.0,29.24,8.0,NNW,7.0,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-805320,Source2,3,2021-11-24 15:49:12,2021-11-24 16:18:14,33.333942,-86.973839,,,0.0,Left lane blocked due to accident on I-459 Northbound after Exit 1 CR-18 Eastern Valley Rd.,I-459 N,Bessemer,Jefferson,AL,35022,US,US/Central,KEET,2021-11-24 15:53:00,60.0,60.0,26.0,29.66,10.0,ESE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-810099,Source2,2,2021-11-20 21:25:30,2021-11-20 22:24:43,39.873371,-78.610703,,,0.0,Lane blocked due to accident on US-220 Bedford Valley Rd both ways at Evitts Creek Rd.,Evitts Creek Rd,Bedford,Bedford,PA,15522-5838,US,US/Eastern,KHMZ,2021-11-20 21:53:00,37.0,31.0,57.0,28.69,10.0,S,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-812175,Source2,2,2021-11-19 08:34:10,2021-11-19 09:04:00,42.41637,-71.686836,,,0.0,Accident on School St at MA-62 Union St.,School St,Clinton,Worcester,MA,01510-3419,US,US/Eastern,KFIT,2021-11-19 08:52:00,42.0,35.0,55.0,29.68,10.0,WNW,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-813223,Source2,2,2021-11-18 17:27:01,2021-11-18 17:56:43,35.385681,-97.54786700000001,,,0.0,Accident on Penn Ave at 80th St.,S Pennsylvania Ave,Oklahoma City,Oklahoma,OK,73159,US,US/Central,KOKC,2021-11-18 17:52:00,46.0,44.0,24.0,29.07,10.0,ESE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Day,Day,Day
A-817039,Source2,2,2021-11-16 17:39:04,2021-11-16 18:08:42,36.130299,-86.83779100000002,,,0.0,Accident on US-70S Harding Pike at Cherokee Rd.,Cherokee Rd,Nashville,Davidson,TN,37205,US,US/Central,KBNA,2021-11-16 17:53:00,63.0,63.0,75.0,29.41,10.0,SSE,7.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-824789,Source2,2,2021-11-10 08:07:42,2021-11-10 08:37:14,30.191544,-81.7043,,,0.0,Left hand shoulder blocked due to accident on I-295 Southbound at Exit 10 / US-17 Park Ave / US-17 Roosevelt Blvd.,W Beltway S,Jacksonville,Duval,FL,32244,US,US/Eastern,KNIP,2021-11-10 07:53:00,58.0,58.0,84.0,30.17,10.0,N,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-840314,Source2,3,2021-10-30 15:41:39,2021-10-30 16:11:24,34.066025,-117.48863999999999,,,0.0,Lane blocked due to accident on I-10 Eastbound at Exit 61 Cherry Ave.,I-10 E,Fontana,San Bernardino,CA,92335,US,US/Pacific,KONT,2021-10-30 15:53:00,80.0,80.0,34.0,28.88,10.0,WSW,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-841560,Source2,2,2021-10-20 08:18:42,2021-10-20 08:48:28,43.155659,-77.596748,,,0.3899999856948853,Accident on Union St between Charlotte St and NY-96 East Ave.,S Union St,Rochester,Monroe,NY,14607-1837,US,US/Eastern,KROC,2021-10-20 07:54:00,55.0,55.0,86.0,29.44,10.0,WSW,9.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-842577,Source2,2,2021-10-19 12:12:19,2021-10-19 12:57:36,26.166519,-80.146446,,,0.0,Left lane blocked due to accident on Andrews Ave Eastbound at FL-816 Oakland Park Blvd.,W Oakland Park Blvd,Wilton Manors,Broward,FL,33311-2520,US,US/Eastern,KFXE,2021-10-19 11:53:00,84.0,84.0,46.0,30.1,10.0,E,18.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-842597,Source2,2,2021-10-19 09:49:39,2021-10-19 10:51:00,36.975285,-121.903046,,,0.0,Accident on CA-1 Northbound before Exit 435 / State Park Dr.,State Highway 1,Aptos,Santa Cruz,CA,95003,US,US/Pacific,KWVI,2021-10-19 09:53:00,55.0,55.0,64.0,29.89,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-843252,Source2,2,2021-10-19 07:36:14,2021-10-19 08:05:46,38.02924,-84.45253000000002,,,0.0,Accident on KY-4 New Circle Rd Inner Loop before Liberty Rd.,Liberty Rd,Lexington,Fayette,KY,40509-4319,US,US/Eastern,KLEX,2021-10-19 07:54:00,42.0,39.0,89.0,29.18,10.0,SSE,5.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-843329,Source2,3,2021-10-19 07:47:24,2021-10-19 08:47:01,42.959393,-78.766708,,,0.0,Queueing traffic center lane closed and right hand shoulder blocked due to accident on I-290 Eastbound at NY-5.,I-290 E,Buffalo,Erie,NY,14226,US,US/Eastern,KBUF,2021-10-19 07:54:00,43.0,39.0,89.0,29.28,10.0,SSW,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-854776,Source2,2,2021-10-27 10:21:29,2021-10-27 10:50:59,30.532619,-87.23638199999998,,,0.0,Lane blocked due to accident on US-90-ALT Nine Mile Rd at Jernigan Rd.,E Nine Mile Rd,Pensacola,Escambia,FL,32514-5722,US,US/Central,KPNS,2021-10-27 09:53:00,67.0,67.0,68.0,29.76,10.0,E,8.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-872887,Source2,2,2021-10-06 09:00:03,2021-10-06 09:46:00,37.926528999999995,-122.05475600000001,,,0.0,Lane blocked due to accident on Jones Rd at Treat Blvd.,Jones Rd,Walnut Creek,Contra Costa,CA,94597,US,US/Pacific,KCCR,2021-10-06 08:53:00,62.0,62.0,70.0,29.94,10.0,S,9.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-872959,Source2,2,2021-10-06 08:49:35,2021-10-06 09:55:05,42.944592,-83.65276300000002,,,0.0,Accident on M-54 Dort Hwy at Hill Rd.,Dort Hwy,Grand Blanc,Genesee,MI,48439-8100,US,US/Eastern,KFNT,2021-10-06 08:53:00,61.0,61.0,90.0,29.5,10.0,E,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-874327,Source3,2,2021-10-05 19:52:26,2021-10-05 20:21:34,32.803309999999996,-86.827187,,,0.0,Accident on AL-191 Southbound at AL-22.,AL Highway 191,Maplesville,Chilton,AL,36750,US,US/Central,KEET,2021-10-05 19:53:00,70.0,70.0,93.0,29.38,8.0,SSE,3.0,0.28,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-876587,Source2,2,2021-10-04 15:43:42,2021-10-04 16:13:27,40.084,-82.854218,,,0.0,Left lane blocked due to accident on OH-161 Westbound at Exit 43 Hamilton Rd.,New Albany Expy W,Westerville,Franklin,OH,43081,US,US/Eastern,KCMH,2021-10-04 15:51:00,76.0,76.0,62.0,29.05,10.0,WSW,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-880892,Source2,3,2021-09-28 16:08:58,2021-09-28 16:37:19,35.592728,-82.566994,,,0.0,Left lane blocked due to accident on I-240 Eastbound at Exit 4 / I-26 / Patton Ave.,I-240 W,Asheville,Buncombe,NC,28801,US,US/Eastern,KAVL,2021-09-28 15:54:00,80.0,80.0,47.0,27.76,10.0,NNW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-884515,Source2,3,2021-09-24 17:33:21,2021-09-24 18:21:39,41.300205,-81.51683,,,0.0,Lane blocked due to accident on I-271 Southbound at Exit 18 OH-8 .,OH-8,Macedonia,Summit,OH,44056,US,US/Eastern,KPOV,2021-09-24 17:35:00,71.0,71.0,35.0,28.74,7.0,WSW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-885668,Source2,2,2021-09-24 08:16:46,2021-09-24 09:00:42,38.852534999999996,-77.220177,,,0.0,Left hand shoulder blocked due to accident on I-495 Capital Beltway Northbound before Exit 50 US-50 Arlington Blvd.,Capital Beltway S,Annandale,Fairfax County,VA,22003,US,US/Eastern,KDAA,2021-09-24 07:56:00,51.0,51.0,95.0,30.02,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-894107,Source2,3,2021-09-18 20:28:36,2021-09-18 20:57:41,29.777626,-95.381111,,,0.0,Two lanes blocked and left hand shoulder blocked due to accident on I-10 Eastbound at Taylor St.,I-10 E,Houston,Harris,TX,77007,US,US/Central,KMCJ,2021-09-18 20:53:00,80.0,80.0,79.0,29.89,10.0,SSW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-894579,Source2,2,2021-09-17 00:20:53,2021-09-17 02:14:00,40.890594,-74.00350999999998,,,0.0,Two lanes blocked due to accident on NJ-4 Eastbound at CR-39 Teaneck Rd.,State Route 4,Teaneck,Bergen,NJ,07666,US,US/Eastern,KTEB,2021-09-17 00:51:00,72.0,72.0,87.0,30.22,10.0,E,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Night,Night,Night
A-900046,Source2,2,2021-09-15 08:11:14,2021-09-15 08:40:41,40.326275,-75.93589,,,0.0,Restrictions due to accident on US-422 Westbound after US-222-BR Bingaman St.,Benjamin Franklin Hwy W,Reading,Berks,PA,19611,US,US/Eastern,KRDG,2021-09-15 08:25:00,76.0,76.0,85.0,29.57,5.0,S,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-903871,Source2,2,2021-09-12 08:54:28,2021-09-12 09:23:59,38.553959000000006,-121.47403700000001,,,0.0,Accident on CA-99 Northbound at Broadway.,Capital City Fwy E,Sacramento,Sacramento,CA,95817,US,US/Pacific,KSAC,2021-09-12 08:53:00,66.0,66.0,70.0,29.92,10.0,WSW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-904886,Source2,2,2021-09-10 18:53:29,2021-09-10 19:53:22,34.642731,-82.14801800000002,,,0.0,Accident on I-385 Northbound at Exit 19 SC-14.,I-385 N,Gray Court,Laurens,SC,29645,US,US/Eastern,KLUX,2021-09-10 18:55:00,77.0,77.0,47.0,29.34,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-916311,Source2,3,2021-09-01 07:16:11,2021-09-01 07:45:49,41.764057,-87.904404,,,0.0,Lane blocked due to accident on I-55 Stevenson Expy Southbound at I-294 Tri-State Tollway .,Commonwealth Ave,La Grange,Cook,IL,60525,US,US/Central,KMDW,2021-09-01 06:53:00,71.0,71.0,57.0,29.26,10.0,ENE,12.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-918367,Source2,2,2021-08-31 09:41:57,2021-08-31 10:28:00,37.742004,-121.57089199999999,,,0.0,Right hand shoulder blocked due to accident on I-205 Eastbound after I-580.,I-580 W,Tracy,Alameda,CA,95391,US,US/Pacific,KLVK,2021-08-31 09:53:00,70.0,70.0,57.0,29.31,10.0,WNW,6.0,0.0,Smoke,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-920043,Source2,3,2021-08-30 15:08:26,2021-08-30 15:52:56,29.532795,-98.563698,,,0.0,One lane blocked due to accident on I-10 Westbound at Wurzbach Rd.,I-10 W,San Antonio,Bexar,TX,78230,US,US/Central,KSAT,2021-08-30 14:51:00,78.0,78.0,81.0,29.01,10.0,NW,13.0,0.0,Light Rain with Thunder,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-922661,Source2,2,2021-08-26 08:47:48,2021-08-26 09:17:18,28.580721,-81.959778,,,0.0,Accident on FL-50 at CR-469.,State Road 50,Webster,Sumter,FL,33597,US,US/Eastern,KINF,2021-08-26 08:55:00,77.0,77.0,100.0,30.01,7.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-923044,Source2,2,2021-08-26 15:30:15,2021-08-26 15:59:45,37.511475,-122.25351699999999,,,0.0,Accident on US-101 Southbound after Exit 411 Brittan Ave.,Bayshore Fwy S,San Carlos,San Mateo,CA,94070,US,US/Pacific,KSQL,2021-08-26 15:47:00,81.0,81.0,42.0,29.89,10.0,NNW,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-929468,Source2,3,2021-08-22 18:51:37,2021-08-22 19:21:02,33.778557,-84.241325,,,0.0,Two lanes blocked due to accident on I-285 Northbound at Exit 41 GA-10 Memorial Dr.,GA-407 N,Decatur,DeKalb,GA,30032,US,US/Eastern,KPDK,2021-08-22 18:53:00,82.0,82.0,74.0,28.85,10.0,W,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-930562,Source2,2,2021-08-20 11:15:22,2021-08-20 11:44:45,34.069759000000005,-118.23616799999999,,,0.0,#1 lane blocked due to accident on CA-110 Southbound at CA-110 Exits 24 Stadium Way.,Arroyo Seco Pkwy,Los Angeles,Los Angeles,CA,90012,US,US/Pacific,KCQT,2021-08-20 11:25:00,72.0,72.0,68.0,29.67,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-933611,Source2,2,2021-08-18 14:40:43,2021-08-18 15:32:39,33.559360999999996,-112.037727,,,0.0,Lane blocked due to accident on AZ-51 Southbound at Exit 7 Northern Ave.,Piestewa Fwy N,Phoenix,Maricopa,AZ,85028,US,US/Mountain,KSDL,2021-08-18 14:32:00,77.0,77.0,76.0,28.21,4.0,NNW,12.0,0.04,T-Storm,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-939791,Source2,3,2021-08-11 15:02:36,2021-08-11 16:17:06,39.161922,-119.74011999999999,,,0.0,Right lane closed due to accident on I-580 Northbound at 5th St.,E 5th St,Carson City,Carson City,NV,89701,US,US/Pacific,KCXP,2021-08-11 15:10:00,97.0,97.0,7.0,25.35,8.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-939958,Source2,2,2021-08-11 14:49:31,2021-08-11 15:49:10,28.508038,-81.508545,,,0.0,Right lane blocked due to accident on CR-435 Apopka Vineland Rd Southbound at Windy Ridge Rd.,S Apopka Vineland Rd,Windermere,Orange,FL,34786,US,US/Eastern,KORL,2021-08-11 14:53:00,78.0,78.0,93.0,30.04,6.0,ENE,8.0,0.05,T-Storm,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-941080,Source2,2,2021-08-11 07:15:09,2021-08-11 08:16:18,35.014301,-90.04804200000002,,,0.0,Accident on Pleasant Rd at Leonard Rd.,Leonard Rd,Memphis,Shelby,TN,38109-6849,US,US/Central,KMEM,2021-08-11 06:54:00,80.0,80.0,79.0,29.73,10.0,SSW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-941763,Source2,2,2021-08-10 17:05:45,2021-08-10 17:51:44,35.260979,-80.83689100000002,,,0.0,Lane blocked due to accident on Atando Ave at Statesville Ave.,Statesville Ave,Charlotte,Mecklenburg,NC,28206,US,US/Eastern,KCLT,2021-08-10 16:52:00,94.0,94.0,44.0,29.31,10.0,WSW,6.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-944000,Source2,2,2021-08-06 08:16:02,2021-08-06 09:19:44,35.851028,-78.64337900000002,,,0.0,Accident on Six Forks Rd at Shelley Rd.,Six Forks Rd,Raleigh,Wake,NC,27609-4461,US,US/Eastern,KRDU,2021-08-06 08:20:00,70.0,70.0,97.0,29.78,2.0,CALM,0.0,0.0,Fog,False,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-951508,Source2,2,2021-07-31 13:53:08,2021-07-31 14:53:19,39.280899,-77.31495699999998,,,0.0,Accident on MD-355 Frederick Rd both ways at MD-109 Old Hundred Rd.,Old Hundred Rd,Clarksburg,Montgomery,MD,20871,US,US/Eastern,KGAI,2021-07-31 13:56:00,79.0,79.0,50.0,29.43,10.0,VAR,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-953681,Source2,2,2021-07-29 15:56:19,2021-07-29 16:26:05,36.217609,-86.70459,,,0.0,Accident on Mcgavock Pike at Pennington Bend Rd.,McGavock Pike,Nashville,Davidson,TN,37214-1216,US,US/Central,KBNA,2021-07-29 15:53:00,94.0,94.0,49.0,29.35,9.0,W,10.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-955412,Source2,2,2021-07-28 16:56:11,2021-07-28 17:25:58,30.387528999999997,-91.158302,,,0.0,Accident on Ben Hur Rd at Creek Centre Dr.,Ben Hur Rd,Baton Rouge,East Baton Rouge,LA,70820-4925,US,US/Central,KBTR,2021-07-28 16:53:00,89.0,89.0,63.0,29.9,10.0,NW,3.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
A-961254,Source2,2,2021-07-23 10:25:23,2021-07-23 11:09:35,33.45335,-81.983818,,,0.0,Accident on Mercier St at Old Savannah Rd.,Old Savannah Rd,Augusta,Richmond,GA,30901-3738,US,US/Eastern,KDNL,2021-07-23 10:53:00,86.0,86.0,63.0,29.68,7.0,E,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-968569,Source2,3,2021-07-18 07:34:56,2021-07-18 12:31:28,33.974037,-118.08010900000001,,,0.0,#2 #3 #4 lane blocked due to accident on I-605 Southbound at Washington Blvd. SigAlert issued.,I-605 S,Whittier,Los Angeles,CA,90606,US,US/Pacific,KEMT,2021-07-18 07:53:00,72.0,72.0,76.0,29.89,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-970339,Source2,2,2021-07-12 04:04:14,2021-07-12 05:04:05,39.980659,-75.749039,,,0.0,Accident on Broad Run Rd at Winfield Dr.,Broadrun Rd,Downingtown,Chester,PA,19335-3530,US,US/Eastern,KOQN,2021-07-12 03:55:00,75.0,75.0,94.0,29.36,6.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-970678,Source2,2,2021-07-12 22:39:13,2021-07-12 23:38:52,35.136520000000004,-80.904671,,,0.0,Accident on Arrowood Rd at Forest Pine Dr.,Forest Pine Dr,Charlotte,Mecklenburg,NC,28273-4600,US,US/Eastern,KCLT,2021-07-12 22:52:00,76.0,76.0,87.0,29.47,10.0,S,18.0,0.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-972361,Source2,3,2021-07-10 15:50:31,2021-07-10 16:38:09,33.585026,-84.513145,,,0.0,Three lanes blocked due to accident on I-85 Northbound at Flat Shoals Rd.,GA-403 S,Atlanta,Fulton,GA,30349,US,US/Eastern,KATL,2021-07-10 15:52:00,84.0,84.0,67.0,28.97,8.0,NNE,5.0,0.08,Light Rain with Thunder,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
